n_cores  2GB_s     2GB_d      4GB_s     4GB_d    8GB_s     8GB_d
 1  16687.80  33120.53   16593.63  33152.71  16712.41  33209.05
 2  31107.62  62106.37   30914.25  61756.62  30910.17  62273.90
 3  37067.04  72820.11   37191.48  73514.50  37076.22  73646.10
 4  37197.00  72338.65   36464.65  72861.18  36879.73  72727.60
 5  36830.54  72697.84   36273.30  72644.68  36970.09  72731.48
 6  36740.37  72598.77   36691.84  72510.25  36284.57  72462.95
 7  36105.43  71570.32   35833.11  72240.99  36089.49  71524.65
 8  35645.25  70677.07   35634.34  71304.18  35361.69  70605.35
 9  37777.93  75056.80   37744.04  75542.70  37799.68  74932.05
10  38548.73  77075.25   38776.52  77103.86  38581.83  76943.31
11  39697.55  79043.85   39708.79  79394.30  39689.66  79265.87
12  40556.29  80846.18   40415.31  80819.14  40550.70  80623.15
13  41205.32  82380.80   41335.56  82629.85  41320.54  82418.13
14  42001.39  83814.07   41978.44  83937.59  41955.58  83566.05
15  42376.67  84763.93   42447.07  84811.85  42421.38  84588.23
16  42626.62  85247.02   42601.01  85221.09  42591.98  84995.72
17  45286.52  90423.60   45257.45  90462.29  45224.53  84979.19
18  47902.17  95802.80   47918.95  95789.88  47873.48  84985.32
19  50585.07 101037.01   50551.37 101054.00  50453.32  84926.65
20  53201.67 106371.40   53167.00 106251.11  52141.40  84685.58
21  55835.99 111687.58   55799.23 107463.64  53084.38  84439.53
22  58473.36 117037.47   58416.79 108208.60  53711.82  94611.43
23  61122.06 122156.66   61058.33 109150.17  52935.55  83741.65
24  63830.76 127453.84   63584.27 105678.58  53739.18  83217.13
25  66422.08 132807.27   66285.27 107055.59  56642.18  83027.07
26  68941.80 137802.12   68880.32 107694.62  56496.57  82990.05
27  71578.17 143557.45   71483.58 107601.86  55595.95  82245.19
28  74230.16 148650.42   74066.96 105451.46  54949.64  79864.10
29  76958.81 153894.12   76640.68 104379.19  54698.56  80838.67
30  79692.34 158719.76   79236.25 103026.98  56264.35  80000.56
31  82245.24 164311.21   81916.31 103995.90  55563.19  79302.54
32  84594.32 164840.20   83323.09 101653.27  54579.79  81380.79
33  87569.57 174928.53   87256.22 174332.09  86575.61 120156.42
34  90223.02 180201.76   89810.88 179629.68  89207.68 116207.11
35  92948.85 185709.73   92475.01 185050.21  91705.18 101793.99
36  95508.47 190819.62   95123.96 189972.68  94431.79  99379.73
37  97909.95 195682.40   97721.44 195377.79  96945.33 100300.48
38 100731.91 201396.93  100283.46 200630.88  99497.29 125770.75
39 103298.10 206508.51  102811.56 205977.26 102130.31  98994.48
40 106065.87 211970.97  105379.85 210971.63 104532.04 102959.87
41 108815.48 217119.75  108069.72 213247.64 106690.42  99444.11
42 111370.32 222573.36  110767.00 210834.35 106196.70  99295.23
43 113951.09 227739.48  113514.02 216219.10 105033.29 129359.03
44 116487.91 232762.83  116071.53 212585.71 107958.31  97038.32
45 119050.38 237998.50  118734.78 216521.75 105987.93 122973.75
46 121790.47 243377.34  121195.69 212236.49 107840.49  96256.41
47 124287.49 248426.69  123790.55 208585.25 106965.98 106529.94
48 126813.23 253629.26  126157.66 213715.13 105930.45 120852.32
49 129593.51 259093.49  128775.97 204981.76 106452.58 114634.37
50 132279.64 264447.59  131418.70 203984.16 102731.39 122485.10
51 134829.09 269503.64  133780.08 192564.27 101100.33 101755.81
52 137456.42 274652.69  136418.12 193112.23  97294.06 188304.26
53 140055.96 279905.53  138965.98 186949.86  99114.06 120026.26
54 142624.32 284492.64  141779.80 188505.62 100725.55 112712.26
55 145205.98 290233.35  144140.44 191124.52  97060.20 103035.14
56 148152.55 295212.43  146708.26 184633.91  98875.26  90018.48
57 150227.64 300980.31  148792.77 189221.33  97276.85  89804.50
58 153026.34 305702.18  151598.44 183365.13 100402.04  88474.96
59 155265.89 310212.36  154309.64 182783.21 101434.78  88368.86
60 158090.11 315610.31  156891.28 184360.19  96995.23  81541.21
61 161049.94 321768.21  159630.92 178347.91  96964.34  80938.46
62 163558.58 327158.48  162228.57 179535.05  98839.16  82983.09
63 166134.11 332193.99  164588.79 180568.36  92577.14  77381.62
64 168490.54 336553.16  166507.42 165801.46  95247.39  85514.37
